gene,sector,Product,function,functional class,general class,location,envelope_function,COG_functionname,COG_function,COG-id,cAMP,manual1,manual2,COG_functionname_curated
oppA,s-sector,oligopeptide ABC transporter periplasmic binding protein,oligopeptide transporter,general transport,transport,PE,transporter,Amino acid transport and metabolism,E,COG4166,no,,,Amino acid transport and metabolism
oppB,s-sector,murein tripeptide ABC transporter / oligopeptide ABC transporter inner membrane subunit OppB,,,,IM,transporter,notdefined,EP,COG0601,no,,,Transport
oppC,rca-sector,murein tripeptide ABC transporter / oligopeptide ABC transporter inner membrane subunit OppC,,,,IM,transporter,notdefined,EP,COG1173,no,,,Transport
oppD,s-sector,murein tripeptide ABC transporter / oligopeptide ABC transporter ATP binding subunit OppD,,,,CP,,notdefined,EP,COG0444,no,,,Transport
oppF,s-sector,murein tripeptide ABC transporter / oligopeptide ABC transporter ATP binding subunit OppF,,,,CP,,Amino acid transport and metabolism,E,COG4608,no,,,Amino acid transport and metabolism
orn,a-sector,oligoribonuclease,,,,CP,,RNA processing and modification,A,COG1949,no,,,RNA processing and modification
ortT,rca-sector,orphan toxin OrtT,,,,IM,membrane protein,notdefined,notdefined,,no,,,notdefined
osmB,ra-sector,osmotically-inducible lipoprotein OsmB,,,,LPO,lipoprotein,notdefined,notdefined,,no,,,notdefined
osmC,s-sector,osmotically inducible peroxiredoxin OsmC,,,,CP,,Defense mechanisms,V,COG1764,no,,,Defense mechanisms
osmE,s-sector,osmotically-inducible lipoprotein OsmE,,,,LPO,other,Cell wall/membrane/envelope biogenesis,M,COG2913,no,,,Cell wall/membrane/envelope biogenesis
osmF,rca-sector,glycine betaine ABC transporter periplasmic binding protein OsmF,,,,PE,transporter,Cell wall/membrane/envelope biogenesis,M,COG1732,no,,,Cell wall/membrane/envelope biogenesis
osmY,a-sector,periplasmic chaperone OsmY,,,,PE,other,Function unknown,S,COG2823,yes,,,Function unknown
otsA,s-sector,TREHALOSE6PSYN-MONOMER,,,,CP,,Carbohydrate transport and metabolism,G,COG0380,no,,,Carbohydrate transport and metabolism
otsB,s-sector,TREHALOSEPHOSPHASYN-MONOMER,,,,CP,,Carbohydrate transport and metabolism,G,COG1877,yes,,,Carbohydrate transport and metabolism
oxc,rca-sector,oxalyl-CoA decarboxylase,,,,CP,,notdefined,EH,COG0028,no,,,notdefined
oxyR,s-sector,DNA-binding transcriptional dual regulator OxyR,,,,CP,,Transcription,K,COG0583,yes,,,Transcription
paaA,s-sector,"phenylacetyl-CoA 1,2-epoxidase, monooxygenase subunit",,,,CP,,"Secondary metabolites biosynthesis, transport and catabolism",Q,COG3396,yes,,,"Secondary metabolites biosynthesis, transport and catabolism"
paaB,s-sector,"phenylacetyl-CoA 1,2-epoxidase subunit B",,,,CP,,"Secondary metabolites biosynthesis, transport and catabolism",Q,COG3460,no,,,"Secondary metabolites biosynthesis, transport and catabolism"
paaC,rca-sector,"phenylacetyl-CoA 1,2-epoxidase, structural subunit",,,,CP,,"Secondary metabolites biosynthesis, transport and catabolism",Q,COG3396,no,,,"Secondary metabolites biosynthesis, transport and catabolism"
paaD,s-sector,phenylacetate degradation protein,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG2151,no,,,"Posttranslational modification, protein turnover, chaperones"
paaE,rca-sector,"phenylacetyl-CoA 1,2-epoxidase, reductase subunit",,,,CP,,Energy production and conversion,C,COG1018,no,,,Energy production and conversion
paaF,rca-sector,"putative 2,3-dehydroadipyl-CoA hydratase",,,,CP,,Lipid transport and metabolism,I,COG1024,no,,,Lipid transport and metabolism
paaG,rca-sector,"putative ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)",,,,CP,,Lipid transport and metabolism,I,COG1024,no,,,Lipid transport and metabolism
paaH,rca-sector,G6716-MONOMER,,,,CP,,Lipid transport and metabolism,I,COG1250,no,,,Lipid transport and metabolism
paaI,rca-sector,phenylacetyl-CoA thioesterase,,,,CP,,"Secondary metabolites biosynthesis, transport and catabolism",Q,COG2050,no,,,"Secondary metabolites biosynthesis, transport and catabolism"
paaJ,rca-sector,&beta;-ketoadipyl-CoA thiolase,,,,CP,,Lipid transport and metabolism,I,COG0183,no,,,Lipid transport and metabolism
paaK,rca-sector,phenylacetate-CoA ligase,,,,CP,,Coenzyme transport and metabolism,H,COG1541,no,,,Coenzyme transport and metabolism
paaX,s-sector,DNA-binding transcriptional repressor PaaX,,,,CP,,Transcription,K,COG3327,no,,,Transcription
paaY,s-sector,"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",,,,CP,,General function prediction only,R,COG0663,no,,,General function prediction only
paaZ,rca-sector,"oxepin-CoA hydrolase/3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase",,,,CP,,Energy production and conversion,C,COG1012,yes,,,Energy production and conversion
pabA,ra-sector,aminodeoxychorismate synthase subunit 2,,,,CP,,notdefined,EH,COG0512,no,,,notdefined
pabB,ra-sector,aminodeoxychorismate synthase subunit 1,,,,CP,,notdefined,EH,COG0147,no,,,notdefined
pabC,rca-sector,aminodeoxychorismate lyase,,,,CP,,notdefined,EH,COG0115,no,,,notdefined
pagP,s-sector,Lipid IV<sub>A</sub> palmitoyltransferase,,,,OM,other,notdefined,notdefined,,no,,,notdefined
pal,u-sector,peptidoglycan-associated outer membrane lipoprotein Pal,,,,LPO,lipoprotein,Cell wall/membrane/envelope biogenesis,M,COG2885,no,,,Cell wall/membrane/envelope biogenesis
panB,u-sector,3-methyl-2-oxobutanoate hydroxymethyltransferase,,,,CP,,Coenzyme transport and metabolism,H,COG0413,no,,,Coenzyme transport and metabolism
panC,a-sector,pantothenate synthetase,,,,CP,,Coenzyme transport and metabolism,H,COG0414,no,,,Coenzyme transport and metabolism
panD,a-sector,"PanD &beta; cleavage product // ""PanD &alpha; cleavage product"" // ""aspartate 1-decarboxylase proenzyme""",,,,CP,,Coenzyme transport and metabolism,H,COG0853,no,,,Coenzyme transport and metabolism
panE,a-sector,2-dehydropantoate 2-reductase,,,,CP,,Coenzyme transport and metabolism,H,COG1893,no,,,Coenzyme transport and metabolism
panF,r-sector,PANF-MONOMER,,,,IM,other,Coenzyme transport and metabolism,H,COG4145,no,,,Coenzyme transport and metabolism
panZ,rca-sector,"acetyl-CoA-bound PanD maturation factor // ""PanD maturation factor""",,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0456,no,,,"Translation, ribosomal structure and biogenesis"
paoA,rca-sector,"aldehyde dehydrogenase, Fe-S subunit",,,,CP,,Energy production and conversion,C,COG2080,no,,,Energy production and conversion
paoB,rca-sector,"aldehyde dehydrogenase, FAD-binding subunit",,,,CP,,Energy production and conversion,C,COG1319,no,,,Energy production and conversion
paoC,rca-sector,aldehyde dehydrogenase: molybdenum cofactor-binding subunit,,,,CP,,Energy production and conversion,C,COG1529,no,,,Energy production and conversion
paoD,rca-sector,molybdenum cofactor insertion chaperone PaoD,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG1975,no,,,"Posttranslational modification, protein turnover, chaperones"
parC,r-sector,DNA topoisomerase IV subunit A,,,,CP,,"Replication, recombination and repair",L,COG0188,no,,,"Replication, recombination and repair"
parE,ra-sector,DNA topoisomerase IV subunit B,,,,CP,,"Replication, recombination and repair",L,COG0187,no,,,"Replication, recombination and repair"
patA,s-sector,putrescine aminotransferase,,,,CP,,Amino acid transport and metabolism,E,COG4992,no,,,Amino acid transport and metabolism
patD,rca-sector,&gamma;-aminobutyraldehyde dehydrogenase,,,,CP,,Energy production and conversion,C,COG1012,no,,,Energy production and conversion
patZ,s-sector,peptidyl-lysine <i>N</i>-acetyltransferase,,,,CP,,Energy production and conversion,C,COG0045,no,,,Energy production and conversion
pbl,s-sector,transglycosylase domain-containing protein Pbl,,,,CP,,notdefined,notdefined,,no,,,notdefined
pbpC,rca-sector,peptidoglycan glycosyltransferase PbpC,,,,IM,other,Cell wall/membrane/envelope biogenesis,M,COG4953,no,,,Cell wall/membrane/envelope biogenesis
pbpG,s-sector,peptidoglycan DD-endopeptidase PbpG,,,,PE,other,Cell wall/membrane/envelope biogenesis,M,COG1686,no,,,Cell wall/membrane/envelope biogenesis
pck,s-sector,PEPCARBOXYKIN-MONOMER,gluconeogenesis,catabolism,catabolism,CP,,Energy production and conversion,C,COG1866,yes,,,Energy production and conversion
pcm,rca-sector,L-isoaspartate protein carboxylmethyltransferase type II,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG2518,no,,,"Posttranslational modification, protein turnover, chaperones"
pcnB,r-sector,poly(A) polymerase I,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0617,no,,,"Translation, ribosomal structure and biogenesis"
pdeA,rca-sector,putative c-di-GMP phosphodiesterase PdeA,,,,IM,other,Signal transduction mechanisms,T,COG2199,no,,,Signal transduction mechanisms
pdeB,s-sector,c-di-GMP phosphodiesterase PdeB,,,,IM,membrane protein,Signal transduction mechanisms,T,COG4943,no,,,Signal transduction mechanisms
pdeC,s-sector,c-di-GMP phosphodiesterase PdeC,,,,IM,other,Signal transduction mechanisms,T,COG4943,no,,,Signal transduction mechanisms
pdeD,rca-sector,putative c-di-GMP phosphodiesterase PdeD,,,,CP,,Signal transduction mechanisms,T,COG2200,no,,,Signal transduction mechanisms
pdeF,rca-sector,cyclic di-GMP phosphodiesterase PdeF,,,,IM,membrane protein,Signal transduction mechanisms,T,COG2199,no,,,Signal transduction mechanisms
pdeG,rca-sector,putative c-di-GMP phosphodiesterase PdeG,,,,IM,membrane protein,Signal transduction mechanisms,T,COG2200,no,,,Signal transduction mechanisms
pdeH,c-sector,c-di-GMP phosphodiesterase PdeH,,,,CP,,Signal transduction mechanisms,T,COG2200,no,,,Signal transduction mechanisms
pdeI,a-sector,putative c-di-GMP phosphodiesterase PdeI,,,,IM,membrane protein,Signal transduction mechanisms,T,COG2200,no,,,Signal transduction mechanisms
pdeK,a-sector,putative c-di-GMP phosphodiesterase PdeK,,,,IM,other,Signal transduction mechanisms,T,COG2199,no,,,Signal transduction mechanisms
pdeL,ra-sector,DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL,,,,CP,,Signal transduction mechanisms,T,COG2200,no,,,Signal transduction mechanisms
pdeN,s-sector,putative c-di-GMP phosphodiesterase PdeN,,,,IM,other,Signal transduction mechanisms,T,COG2200,no,,,Signal transduction mechanisms
pdeR,rca-sector,cyclic di-GMP phosphodiesterase PdeR,,,,CP,,Signal transduction mechanisms,T,COG5001,no,,,Signal transduction mechanisms
pdhR,u-sector,DNA-binding transcriptional dual regulator PdhR,,,,CP,,Transcription,K,COG2186,yes,,,Transcription
pdxA,rca-sector,4-hydroxythreonine-4-phosphate dehydrogenase,,,,CP,,Coenzyme transport and metabolism,H,COG1995,no,,,Coenzyme transport and metabolism
pdxB,a-sector,erythronate-4-phosphate dehydrogenase,,,,CP,,notdefined,HR,COG0111,no,,,notdefined
pdxH,s-sector,pyridoxal 5-phosphate synthase,,,,CP,,Coenzyme transport and metabolism,H,COG0259,no,,,Coenzyme transport and metabolism
pdxJ,a-sector,pyridoxine 5'-phosphate synthase,,,,CP,,Coenzyme transport and metabolism,H,COG0854,no,,,Coenzyme transport and metabolism
pdxK,a-sector,pyridoxal kinase I,,,,CP,,Coenzyme transport and metabolism,H,COG2240,no,,,Coenzyme transport and metabolism
pdxY,a-sector,pyridoxal kinase 2,,,,CP,,Coenzyme transport and metabolism,H,COG2240,no,,,Coenzyme transport and metabolism
pepA,r-sector,aminopeptidase A/I,,,,CP,,Amino acid transport and metabolism,E,COG0260,no,,,Amino acid transport and metabolism
pepB,rc-sector,aminopeptidase B,,,,CP,,Amino acid transport and metabolism,E,COG0260,no,,,Amino acid transport and metabolism
pepD,a-sector,peptidase D,,,,CP,,Amino acid transport and metabolism,E,COG2195,no,,,Amino acid transport and metabolism
pepE,s-sector,peptidase E,,,,CP,,Amino acid transport and metabolism,E,COG3340,no,,,Amino acid transport and metabolism
pepN,rca-sector,aminopeptidase N,,,,CP,,Amino acid transport and metabolism,E,COG0308,no,,,Amino acid transport and metabolism
pepP,a-sector,Xaa-Pro aminopeptidase,,,,CP,,Amino acid transport and metabolism,E,COG0006,no,,,Amino acid transport and metabolism
pepQ,a-sector,Xaa-Pro dipeptidase,,,,CP,,Amino acid transport and metabolism,E,COG0006,no,,,Amino acid transport and metabolism
pepT,s-sector,peptidase T,,,,CP,,Amino acid transport and metabolism,E,COG2195,no,,,Amino acid transport and metabolism
perR,rca-sector,putative transcriptional regulator PerR,,,,CP,,Transcription,K,COG0583,no,,,Transcription
pfkA,a-sector,6-phosphofructokinase I,,,,CP,,Carbohydrate transport and metabolism,G,COG0205,no,,,Carbohydrate transport and metabolism
pfkB,ra-sector,6-phosphofructokinase II,,,,CP,,Carbohydrate transport and metabolism,G,COG1105,no,,,Carbohydrate transport and metabolism
pflA,a-sector,pyruvate formate-lyase activating enzyme,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG1180,no,,,"Posttranslational modification, protein turnover, chaperones"
pflB,s-sector,pyruvate formate-lyase,,,,CP,,Energy production and conversion,C,COG1882,yes,,,Energy production and conversion
pflC,rca-sector,putative pyruvate formate-lyase 2 activating enzyme PflC,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG1180,no,,,"Posttranslational modification, protein turnover, chaperones"
pflD,s-sector,putative formate acetyltransferase 2,,,,CP,,Energy production and conversion,C,COG1882,no,,,Energy production and conversion
pgaA,rca-sector,"partially deacetylated poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine outer membrane porin",,,,OM,membrane protein,General function prediction only,R,COG0457,no,,,General function prediction only
pgaB,rca-sector,"poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine <i>N</i>-deacetylase and &beta;-1,6 glycoside hydrolase",,,,CP,,notdefined,GM,COG0726,no,,,notdefined
pgaC,rca-sector,poly-<i>N</i>-acetyl-D-glucosamine synthase subunit PgaC,,,,IM,other,Cell motility,N,COG1215,no,,,Cell motility
pgaD,rca-sector,poly-<i>N</i>-acetyl-D-glucosamine synthase subunit PgaD,,,,IM,membrane protein,notdefined,notdefined,,no,,,notdefined
pgi,u-sector,glucose-6-phosphate isomerase,,,,CP,,Carbohydrate transport and metabolism,G,COG0166,yes,,,Carbohydrate transport and metabolism
pgk,u-sector,PGK,,,,CP,,Carbohydrate transport and metabolism,G,COG0126,no,,,Carbohydrate transport and metabolism
pgl,a-sector,6PGLUCONOLACT-MONOMER,,,,CP,,Carbohydrate transport and metabolism,G,COG2706,no,,,Carbohydrate transport and metabolism
pgm,rca-sector,PHOSPHOGLUCMUT-MONOMER,,,,CP,,Carbohydrate transport and metabolism,G,COG0033,no,,,Carbohydrate transport and metabolism
pgpA,s-sector,phosphatidylglycerophosphatase A,,,,IM,other,Lipid transport and metabolism,I,COG1267,no,,,Lipid transport and metabolism
pgpB,s-sector,phosphatidylglycerophosphatase B,,,,IM,other,Lipid transport and metabolism,I,COG0671,no,,,Lipid transport and metabolism
pgpC,s-sector,phosphatidylglycerophosphatase C,,,,CP,,Amino acid transport and metabolism,E,COG0560,no,,,Amino acid transport and metabolism
pgrR,rca-sector,DNA-binding transcriptional repressor PgrR,,,,CP,,Transcription,K,COG0583,no,,,Transcription
pgsA,s-sector,PHOSPHAGLYPSYN-MONOMER,,,,IM,other,Lipid transport and metabolism,I,COG0558,no,,,Lipid transport and metabolism
pheA,a-sector,fused chorismate mutase/prephenate dehydratase,,,,CP,,Amino acid transport and metabolism,E,COG0077,no,,,Amino acid transport and metabolism
pheL,s-sector,<i>phe</i> operon leader peptide,,,,CP,,notdefined,notdefined,,no,,,notdefined
pheM,rca-sector,<i>pheST-ihfA</i> operon leader peptide,,,,CP,,notdefined,notdefined,,no,,,notdefined
pheP,r-sector,PHEP-MONOMER,,,,IM,transporter,Amino acid transport and metabolism,E,COG1113,yes,,,Amino acid transport and metabolism
pheS,ra-sector,phenylalanine&mdash;tRNA ligase subunit &alpha;,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0016,no,,,"Translation, ribosomal structure and biogenesis"
pheT,r-sector,phenylalanine&mdash;tRNA ligase subunit &beta;,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0072,no,,,"Translation, ribosomal structure and biogenesis"
phnC,ra-sector,phosphonate ABC transporter ATP binding subunit,,,,CP,,Inorganic ion transport and metabolism,P,COG3638,no,,,Inorganic ion transport and metabolism
phnD,s-sector,phosphonate ABC transporter periplasmic binding protein,,,,PE,transporter,Inorganic ion transport and metabolism,P,COG3221,no,,,Inorganic ion transport and metabolism
phnE_1,rca-sector,,,,,CP,,notdefined,notdefined,,no,,,notdefined
phnE_2,rca-sector,,,,,CP,,notdefined,notdefined,,no,,,notdefined
phnF,rca-sector,putative transcriptional regulator PhnF,,,,CP,,Transcription,K,COG2188,no,,,Transcription
phnG,rca-sector,carbon-phosphorus lyase core complex subunit PhnG,,,,CP,,Inorganic ion transport and metabolism,P,COG3624,no,,,Inorganic ion transport and metabolism
phnH,ra-sector,carbon-phosphorus lyase core complex subunit PhnH,,,,CP,,Inorganic ion transport and metabolism,P,COG3625,no,,,Inorganic ion transport and metabolism
phnI,rca-sector,carbon-phosphorus lyase core complex subunit PhnI,,,,CP,,Inorganic ion transport and metabolism,P,COG3626,no,,,Inorganic ion transport and metabolism
phnJ,rca-sector,carbon-phosphorus lyase core complex subunit PhnJ,,,,CP,,Inorganic ion transport and metabolism,P,COG3627,no,,,Inorganic ion transport and metabolism
phnK,ra-sector,carbon-phosphorus lyase subunit PhnK,,,,CP,,Inorganic ion transport and metabolism,P,COG4107,no,,,Inorganic ion transport and metabolism
phnL,ra-sector,methylphosphonate degradation complex subunit PhnL,,,,CP,,Inorganic ion transport and metabolism,P,COG4778,no,,,Inorganic ion transport and metabolism
phnM,rca-sector,RPnTP hydrolase,,,,CP,,Inorganic ion transport and metabolism,P,COG3454,no,,,Inorganic ion transport and metabolism
phnN,s-sector,EG10723-MONOMER,,,,CP,,Carbohydrate transport and metabolism,G,COG3709,no,,,Carbohydrate transport and metabolism
phnO,s-sector,aminoalkylphosphonate <i>N</i>-acetyltransferase,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0456,no,,,"Translation, ribosomal structure and biogenesis"
phnP,rca-sector,"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",,,,CP,,Inorganic ion transport and metabolism,P,COG1235,no,,,Inorganic ion transport and metabolism
phoA,rca-sector,alkaline phosphatase,,,,PE,other,notdefined,PR,COG1785,no,,,notdefined
phoB,rca-sector,"Phosphorylated DNA-binding transcriptional dual regulator PhoB // ""DNA-binding transcriptional dual regulator PhoB""",,,,CP,,notdefined,TK,COG0745,no,,,notdefined
phoE,rca-sector,outer membrane porin PhoE,,,,OM,transporter,Cell wall/membrane/envelope biogenesis,M,COG3203,no,,,Cell wall/membrane/envelope biogenesis
phoH,s-sector,ATP-binding protein PhoH,,,,CP,,Signal transduction mechanisms,T,COG1702,no,,,Signal transduction mechanisms
phoP,ra-sector,"Phosphorylated DNA-binding transcriptional dual regulator PhoP // ""DNA-binding transcriptional dual regulator PhoP""",,,,CP,,notdefined,TK,COG0745,no,,,notdefined
phoQ,ra-sector,sensory histidine kinase PhoQ,,,,IM,other,Signal transduction mechanisms,T,COG2205,no,,,Signal transduction mechanisms
phoR,rca-sector,sensory histidine kinase PhoR,,,,IM,other,Signal transduction mechanisms,T,COG5002,no,,,Signal transduction mechanisms
phoU,ra-sector,negative regulator of the <i>pho</i> regulon,,,,CP,,Inorganic ion transport and metabolism,P,COG0704,no,,,Inorganic ion transport and metabolism
php,rca-sector,putative hydrolase,,,,CP,,General function prediction only,R,COG1735,no,,,General function prediction only
phr,rca-sector,deoxyribodipyrimidine photolyase (photoreactivation),,,,CP,,"Replication, recombination and repair",L,COG0415,no,,,"Replication, recombination and repair"
pinE,ra-sector,e14 prophage; site-specific DNA recombinase,,,,CP,,"Replication, recombination and repair",L,COG1961,no,,,"Replication, recombination and repair"
pinH,rca-sector,putative invertase fragment,,,,CP,,notdefined,notdefined,,no,,,notdefined
pinQ,rca-sector,Qin prophage; putative site-specific recombinase,,,,CP,,"Replication, recombination and repair",L,COG1961,no,,,"Replication, recombination and repair"
pinR,rca-sector,Rac prophage; putative site-specific recombinase,,,,CP,,"Replication, recombination and repair",L,COG1961,no,,,"Replication, recombination and repair"
pitA,a-sector,metal phosphate:H<sup>+</sup> symporter PitA,,,,IM,transporter,Inorganic ion transport and metabolism,P,COG0306,no,,,Inorganic ion transport and metabolism
pitB,rca-sector,metal phosphate:H<sup>+</sup> symporter PitB,,,,IM,transporter,Inorganic ion transport and metabolism,P,COG0306,no,,,Inorganic ion transport and metabolism
plaP,r-sector,YEEF-MONOMER,,,,IM,transporter,Amino acid transport and metabolism,E,COG0531,no,,,Amino acid transport and metabolism
pldA,ra-sector,outer membrane phospholipase A,,,,OM,other,Cell wall/membrane/envelope biogenesis,M,COG2829,no,,,Cell wall/membrane/envelope biogenesis
pldB,s-sector,lysophospholipase L2,,,,CP,,Lipid transport and metabolism,I,COG2267,no,,,Lipid transport and metabolism
pliG,ra-sector,inhibitor of g-type lysozyme,,,,PE,other,notdefined,notdefined,,no,,,notdefined
plsB,s-sector,glycerol-3-phosphate 1-<i>O</i>-acyltransferase,,,,CP,,Lipid transport and metabolism,I,COG2937,no,,,Lipid transport and metabolism
plsC,s-sector,1-acylglycerol-3-phosphate <i>O</i>-acyltransferase,,,,IM,other,Lipid transport and metabolism,I,COG0204,no,,,Lipid transport and metabolism
plsX,ra-sector,putative phosphate acyltransferase,,,,CP,,Lipid transport and metabolism,I,COG0416,no,,,Lipid transport and metabolism
pmbA,a-sector,metalloprotease PmbA,,,,CP,,General function prediction only,R,COG0312,no,,,General function prediction only
pmrD,rca-sector,signal transduction protein PmrD,,,,CP,,notdefined,notdefined,,no,,,notdefined
pmrR,s-sector,putative bitopic inner membrane protein,,,,CP,,notdefined,notdefined,,no,,,notdefined
pncA,ra-sector,nicotinamidase,,,,CP,,notdefined,HR,COG1335,no,,,notdefined
pncB,ra-sector,NICOTINATEPRIBOSYLTRANS-MONOMER,,,,CP,,Coenzyme transport and metabolism,H,COG1488,yes,,,Coenzyme transport and metabolism
pncC,s-sector,NMN aminohydrolase,,,,CP,,Coenzyme transport and metabolism,H,COG1546,no,,,Coenzyme transport and metabolism
pnp,rc-sector,polynucleotide phosphorylase,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG1185,no,,,"Translation, ribosomal structure and biogenesis"
pntA,u-sector,pyridine nucleotide transhydrogenase subunit &alpha;,,,,IM,other,Energy production and conversion,C,COG3288,no,,,Energy production and conversion
pntB,u-sector,pyridine nucleotide transhydrogenase subunit &beta;,,,,IM,other,Energy production and conversion,C,COG1282,no,,,Energy production and conversion
pnuC,a-sector,PNUC-MONOMER,,,,IM,transporter,Coenzyme transport and metabolism,H,COG3201,no,,,Coenzyme transport and metabolism
polA,s-sector,DNA polymerase I,,,,CP,,"Replication, recombination and repair",L,COG0258,no,,,"Replication, recombination and repair"
polB,ra-sector,DNA polymerase II,,,,CP,,"Replication, recombination and repair",L,COG0417,yes,,,"Replication, recombination and repair"
potA,r-sector,spermidine preferential ABC transporter ATP binding subunit,,,,CP,,Amino acid transport and metabolism,E,COG3842,no,,,Amino acid transport and metabolism
potB,r-sector,spermidine preferential ABC transporter membrane subunit PotB,,,,IM,transporter,Amino acid transport and metabolism,E,COG1176,no,,,Amino acid transport and metabolism
potC,r-sector,spermidine preferential ABC transporter membrane subunit PotC,,,,IM,transporter,Amino acid transport and metabolism,E,COG1177,no,,,Amino acid transport and metabolism
potD,u-sector,spermidine preferential ABC transporter periplasmic binding protein,,,,PE,transporter,Amino acid transport and metabolism,E,COG0687,no,,,Amino acid transport and metabolism
potE,rca-sector,putrescine:H<sup>+</sup> symporter / putrescine:ornithine antiporter PotE,,,,IM,transporter,Amino acid transport and metabolism,E,COG0531,no,,,Amino acid transport and metabolism
potF,ra-sector,putrescine ABC transporter periplasmic binding protein,,,,PE,transporter,Amino acid transport and metabolism,E,COG0687,no,,,Amino acid transport and metabolism
potG,ra-sector,putrescine ABC transporter ATP binding subunit,,,,CP,,Amino acid transport and metabolism,E,COG3842,no,,,Amino acid transport and metabolism
potH,ra-sector,putrescine ABC transporter membrane subunit PotH,,,,IM,transporter,Amino acid transport and metabolism,E,COG1176,no,,,Amino acid transport and metabolism
potI,ra-sector,putrescine ABC transporter membrane subunit PotI,,,,IM,transporter,Amino acid transport and metabolism,E,COG1177,no,,,Amino acid transport and metabolism
poxB,s-sector,pyruvate oxidase,,,,CP,,notdefined,EH,COG0028,no,,,notdefined
ppa,u-sector,inorganic pyrophosphatase,,,,CP,,notdefined,CP,COG0221,no,,,notdefined
ppc,a-sector,phosphoenolpyruvate carboxylase,,,,CP,,Energy production and conversion,C,COG2352,no,,,Energy production and conversion
ppdA,rca-sector,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdA,,,,CP,,notdefined,NUW,COG2165,no,,,notdefined
ppdB,rca-sector,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdB,,,,CP,,"Intracellular trafficking, secretion, and vesicular transport",U,COG4795,no,,,"Intracellular trafficking, secretion, and vesicular transport"
ppdC,rca-sector,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdC,,,,CP,,notdefined,NW,COG4967,no,,,notdefined
ppdD,rca-sector,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD,,,,CP,,notdefined,NW,COG4969,yes,,,notdefined
pphA,rca-sector,phosphoprotein phosphatase 1,,,,CP,,Signal transduction mechanisms,T,COG0639,no,,,Signal transduction mechanisms
pphB,rca-sector,phosphoprotein phosphatase 2,,,,CP,,Signal transduction mechanisms,T,COG0639,yes,,,Signal transduction mechanisms
ppiA,a-sector,peptidyl-prolyl <i>cis-trans</i> isomerase A,,,,PE,other,"Posttranslational modification, protein turnover, chaperones",O,COG0652,yes,,,"Posttranslational modification, protein turnover, chaperones"
ppiB,a-sector,peptidyl-prolyl <i>cis-trans</i> isomerase B,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0652,yes,,,"Posttranslational modification, protein turnover, chaperones"
ppiC,u-sector,peptidyl-prolyl <i>cis-trans</i> isomerase C,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0760,no,,,"Posttranslational modification, protein turnover, chaperones"
ppiD,rca-sector,periplasmic folding chaperone,,,,IM,other,"Posttranslational modification, protein turnover, chaperones",O,COG0760,no,,,"Posttranslational modification, protein turnover, chaperones"
ppk,a-sector,polyphosphate kinase,,,,CP,,Inorganic ion transport and metabolism,P,COG0855,no,,,Inorganic ion transport and metabolism
pppA,ra-sector,prepilin peptidase,,,,IM,other,notdefined,NU,COG1989,no,,,notdefined
ppsA,c-sector,phosphoenolpyruvate synthetase,,,,CP,,Carbohydrate transport and metabolism,G,COG0574,yes,,,Carbohydrate transport and metabolism
ppsR,s-sector,posphoenolpyruvate synthetase regulatory protein,,,,CP,,Signal transduction mechanisms,T,COG1806,no,,,Signal transduction mechanisms
pptA,s-sector,putative 4-oxalocrotonate tautomerase (4-OT),,,,CP,,"Secondary metabolites biosynthesis, transport and catabolism",Q,COG1942,no,,,"Secondary metabolites biosynthesis, transport and catabolism"
ppx,a-sector,exopolyphosphatase,,,,CP,,notdefined,FTP,COG0248,no,,,notdefined
pqiA,rca-sector,intermembrane transport protein PqiA,,,,IM,membrane protein,Function unknown,S,COG2995,no,,,Function unknown
pqiB,rca-sector,intermembrane transport protein PqiB,,,,CP,,Cell wall/membrane/envelope biogenesis,M,COG1463,no,,,Cell wall/membrane/envelope biogenesis
pqqL,c-sector,putative zinc peptidase,,,,CP,,General function prediction only,R,COG0612,no,,,General function prediction only
